episode,sim_step,time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,left_driver_joint,left_spring_link_joint,left_follower,right_driver_joint,right_spring_link_joint,right_follower_joint,grasp_box_free.px,grasp_box_free.py,grasp_box_free.pz,grasp_box_free.qw,grasp_box_free.qx,grasp_box_free.qy,grasp_box_free.qz,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28,joint_29,joint_30,joint_31,joint_32,joint_33,joint_34,joint_35,joint_36,joint_37,joint_38,joint_39,joint_40,joint_41,joint_42,joint_43,joint_44,joint_45,joint_46,joint_47,joint_48,joint_49,joint_50,joint_51,joint_52,joint_53,joint_54,joint_55,joint_56,joint_57,joint_58,joint_59,joint_60,joint_61,joint_62,joint_63,joint_64,joint_65,joint_66,joint_67,joint_68,joint_69,joint_70,joint_71,joint_72,joint_73,joint_74,joint_75,joint_76,joint_77,joint_78,joint_79,joint_80,joint_81,joint_82,joint_83,joint_84,cable_tip_free.px,cable_tip_free.py,cable_tip_free.pz,cable_tip_free.qw,cable_tip_free.qx,cable_tip_free.qy,cable_tip_free.qz,left_pad_latch_peg_free.px,left_pad_latch_peg_free.py,left_pad_latch_peg_free.pz,left_pad_latch_peg_free.qw,left_pad_latch_peg_free.qx,left_pad_latch_peg_free.qy,left_pad_latch_peg_free.qz,right_pad_latch_peg_free.px,right_pad_latch_peg_free.py,right_pad_latch_peg_free.pz,right_pad_latch_peg_free.qw,right_pad_latch_peg_free.qx,right_pad_latch_peg_free.qy,right_pad_latch_peg_free.qz,target_a_shoulder_pan,ctrl_a_shoulder_pan,target_a_shoulder_lift,ctrl_a_shoulder_lift,target_a_elbow,ctrl_a_elbow,target_a_wrist_1,ctrl_a_wrist_1,target_a_wrist_2,ctrl_a_wrist_2,target_a_wrist_3,ctrl_a_wrist_3,target_a_gripper,ctrl_a_gripper
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52171,0.00831,0.035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.834,-0.2,0.24,1.0,0.0,0.0,0.0,-0.7387,-0.37418,0.06305,0.49999,0.49999,0.50001,0.50001,-0.6553,-0.37418,0.06295,0.5,-0.5,-0.5,0.5,-1.5708,-1.5708,-1.5708,-1.5708,1.5708,1.5708,-1.5708,-1.5708,-1.5708,-1.5708,0.0,0.0,0.0,0.0
1,1,0.02,-2e-05,0.00169,0.00051,-4e-05,1e-05,-1e-05,-0.01056,-0.01006,-0.01093,-0.01056,-0.01005,-0.01086,0.52171,0.00831,0.03294,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,-0.0,-0.0,-0.00206,0.0,0.0,-0.00206,-0.0,-0.0,-0.00206,0.834,-0.2,0.23794,1.0,0.0,0.0,0.0,-0.73688,-0.37372,0.06138,0.50005,0.49897,0.49995,0.50103,-0.65668,-0.37373,0.06145,0.49994,-0.50102,-0.50006,0.49898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.04,-2e-05,0.00412,0.00156,-2e-05,1e-05,-1e-05,-0.00533,-0.00549,-0.00529,-0.00533,-0.00549,-0.00531,0.52171,0.00831,0.02696,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,-0.0,-0.0,-0.00804,0.0,0.0,-0.00804,0.834,-0.2,0.23196,1.0,0.0,0.0,0.0,-0.73638,-0.3739,0.05885,0.50119,0.49836,0.49881,0.50163,-0.65649,-0.3739,0.0592,0.49882,-0.50164,-0.50118,0.49835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.06,-1e-05,0.00591,0.00238,-0.0,0.0,0.0,-0.0052,-0.00522,-0.0052,-0.0052,-0.00522,-0.0052,0.52171,0.00831,0.01705,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,-0.0,-0.0,-0.01795,0.0,0.0,-0.01795,0.834,-0.2,0.22205,1.0,0.0,0.0,0.0,-0.73608,-0.37392,0.05696,0.5018,0.49765,0.4982,0.50234,-0.65622,-0.37392,0.05752,0.49819,-0.50233,-0.5018,0.49765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.08,0.0,0.00692,0.00283,1e-05,-0.0,0.0,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052,0.52171,0.00831,0.00322,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,-0.0,-0.0,-0.03178,0.0,0.0,-0.03178,0.834,-0.2,0.20822,1.0,0.0,0.0,0.0,-0.73592,-0.37393,0.0559,0.50216,0.49727,0.49783,0.50271,-0.65606,-0.37393,0.05658,0.49782,-0.5027,-0.50217,0.49728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.1,1e-05,0.00737,0.00302,1e-05,-0.0,0.0,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052,0.52171,0.00831,-0.01454,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,-0.0,-0.0,-0.04954,0.0,0.0,-0.04954,0.834,-0.2,0.19046,1.0,0.0,-0.0,-0.0,-0.73585,-0.37394,0.05543,0.50232,0.49711,0.49767,0.50287,-0.65599,-0.37394,0.05617,0.49766,-0.50286,-0.50233,0.49712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.12,1e-05,0.00752,0.00307,1e-05,-0.0,0.0,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052,0.52171,0.00831,-0.03622,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,-0.0,-0.0,-0.07122,0.0,0.0,-0.07122,0.834,-0.2,0.16878,1.0,0.0,0.0,-0.0,-0.73583,-0.37394,0.05529,0.50236,0.49706,0.49763,0.50292,-0.65597,-0.37394,0.05603,0.49761,-0.50291,-0.50238,0.49708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0.14,1e-05,0.00753,0.00306,0.0,0.0,0.0,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052,0.52171,0.00831,-0.06182,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,-0.0,-0.0,-0.09682,0.0,0.0,-0.09682,0.834,-0.2,0.14318,1.0,0.0,-0.0,-0.0,-0.73583,-0.37393,0.05528,0.50236,0.49706,0.49762,0.50292,-0.65598,-0.37393,0.05603,0.49761,-0.50291,-0.50238,0.49708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,0.16,0.0,0.00751,0.00303,-0.0,0.0,0.0,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052,0.52171,0.00831,-0.09135,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,-0.0,-0.0,-0.12635,0.0,0.0,-0.12635,0.834,-0.2,0.11365,1.0,0.0,0.0,-0.0,-0.73584,-0.37393,0.05531,0.50235,0.49708,0.49764,0.50291,-0.65598,-0.37393,0.05605,0.49763,-0.50289,-0.50236,0.49709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0.18,0.0,0.00748,0.00301,-0.0,0.0,0.0,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052,0.52171,0.00831,-0.1248,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,-0.0,-0.0,-0.1598,0.0,0.0,-0.1598,0.834,-0.2,0.0802,1.0,0.0,-0.0,-0.0,-0.73585,-0.37393,0.05534,0.50234,0.49709,0.49765,0.50289,-0.65599,-0.37393,0.05608,0.49764,-0.50288,-0.50235,0.4971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
