episode,sim_step,time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,left_driver_joint,left_spring_link_joint,left_follower,right_driver_joint,right_spring_link_joint,right_follower_joint,grasp_box_free.px,grasp_box_free.py,grasp_box_free.pz,grasp_box_free.qw,grasp_box_free.qx,grasp_box_free.qy,grasp_box_free.qz,target_a_shoulder_pan,ctrl_a_shoulder_pan,target_a_shoulder_lift,ctrl_a_shoulder_lift,target_a_elbow,ctrl_a_elbow,target_a_wrist_1,ctrl_a_wrist_1,target_a_wrist_2,ctrl_a_wrist_2,target_a_wrist_3,ctrl_a_wrist_3,target_a_gripper,ctrl_a_gripper
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52171,0.00831,0.035,1.0,0.0,0.0,0.0,-1.5708,-1.5708,-1.5708,-1.5708,1.5708,1.5708,-1.5708,-1.5708,-1.5708,-1.5708,0.0,0.0,220.0,220.0
1,1,0.02,1e-05,0.00091,0.00166,0.00289,-0.00287,-0.00035,0.05165,0.05144,0.0503,0.05166,0.05148,0.05041,0.52171,0.00831,0.03284,1.0,0.0,0.0,0.0,0.00029,0.00029,-0.00254,-0.00254,0.00266,0.00266,0.00746,0.00746,-0.00735,-0.00735,-0.00084,-0.00084,220.0,220.0
1,2,0.04,0.00012,0.00167,0.00473,0.00826,-0.00812,-0.00127,0.18462,0.18442,0.18363,0.1847,0.18464,0.1837,0.52171,0.00831,0.02676,1.0,0.0,0.0,0.0,0.00051,0.00051,-0.00541,-0.00541,0.00597,0.00597,0.01636,0.01636,-0.01605,-0.01605,-0.00267,-0.00267,220.0,220.0
1,3,0.06,0.00032,0.00121,0.00814,0.01521,-0.01483,-0.00291,0.38424,0.38407,0.38365,0.38438,0.38443,0.38366,0.52171,0.00831,0.02179,1.0,0.0,-0.0,0.0,0.00071,0.00071,-0.00837,-0.00837,0.0095,0.0095,0.02559,0.02559,-0.02487,-0.02487,-0.00538,-0.00538,220.0,220.0
1,4,0.08,0.00056,-0.0004,0.0116,0.02314,-0.02235,-0.00531,0.63817,0.63803,0.63786,0.63835,0.63848,0.63782,0.52171,0.00831,0.02253,1.0,0.0,-0.0,-0.0,0.00091,0.00091,-0.01137,-0.01137,0.01318,0.01318,0.03496,0.03496,-0.03355,-0.03355,-0.00892,-0.00892,220.0,220.0
1,5,0.1,0.00082,-0.00279,0.0151,0.03169,-0.03025,-0.00847,0.83613,0.83149,0.83088,0.83626,0.83149,0.83298,0.52171,0.00831,0.0236,1.0,0.0,-0.0,-0.0,0.00111,0.00111,-0.01441,-0.01441,0.01701,0.01701,0.04441,0.04441,-0.04201,-0.04201,-0.0132,-0.0132,220.0,220.0
1,6,0.12,0.00105,-0.0056,0.01873,0.04064,-0.03829,-0.01236,0.8256,0.8242,0.82466,0.8258,0.82473,0.82481,0.52171,0.00831,0.02426,1.0,0.0,-0.0,-0.0,0.00133,0.00133,-0.01749,-0.01749,0.021,0.021,0.05397,0.05397,-0.05024,-0.05024,-0.01817,-0.01817,220.0,220.0
1,7,0.14,0.00126,-0.00863,0.02252,0.04988,-0.04631,-0.01694,0.82541,0.82396,0.82619,0.82562,0.82457,0.826,0.52171,0.00831,0.0246,1.0,0.0,-0.0,0.0,0.00155,0.00155,-0.02062,-0.02062,0.02518,0.02518,0.06363,0.06363,-0.05822,-0.05822,-0.02379,-0.02379,220.0,220.0
1,8,0.16,0.00147,-0.01177,0.02653,0.05932,-0.05421,-0.02218,0.82565,0.82405,0.82734,0.82586,0.82466,0.82715,0.52171,0.00831,0.02476,1.0,0.0,-0.0,0.0,0.00178,0.00178,-0.02381,-0.02381,0.02954,0.02954,0.07339,0.07339,-0.06594,-0.06594,-0.02999,-0.02999,220.0,220.0
1,9,0.18,0.00169,-0.01496,0.03075,0.06893,-0.06193,-0.02803,0.82566,0.82407,0.82738,0.82587,0.82466,0.8272,0.52171,0.00831,0.02483,1.0,0.0,-0.0,0.0,0.00201,0.00201,-0.02705,-0.02705,0.03411,0.03411,0.08326,0.08326,-0.07339,-0.07339,-0.03675,-0.03675,220.0,220.0
