episode,sim_step,time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,left_driver_joint,left_spring_link_joint,left_follower,right_driver_joint,right_spring_link_joint,right_follower_joint,grasp_box_free.px,grasp_box_free.py,grasp_box_free.pz,grasp_box_free.qw,grasp_box_free.qx,grasp_box_free.qy,grasp_box_free.qz,target_a_shoulder_pan,ctrl_a_shoulder_pan,target_a_shoulder_lift,ctrl_a_shoulder_lift,target_a_elbow,ctrl_a_elbow,target_a_wrist_1,ctrl_a_wrist_1,target_a_wrist_2,ctrl_a_wrist_2,target_a_wrist_3,ctrl_a_wrist_3,target_a_gripper,ctrl_a_gripper
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52171,0.00831,0.035,1.0,0.0,0.0,0.0,-1.5708,-1.5708,-1.5708,-1.5708,1.5708,1.5708,-1.5708,-1.5708,-1.5708,-1.5708,0.0,0.0,220.0,220.0
1,1,0.02,-1e-05,-0.00136,-0.00033,0.00101,-3e-05,6e-05,0.05166,0.05145,0.05032,0.05166,0.05147,0.0504,0.52171,0.00831,0.03284,1.0,0.0,0.0,0.0,0.0,0.0,-0.01326,-0.01326,-0.00509,-0.00509,0.0025,0.0025,-5e-05,-5e-05,0.00014,0.00014,220.0,220.0
1,2,0.04,-1e-05,-0.0063,-0.00195,0.00265,-8e-05,0.00018,0.18467,0.18454,0.18364,0.18467,0.18455,0.18371,0.52171,0.00831,0.02676,1.0,0.0,0.0,0.0,0.0,0.0,-0.0265,-0.0265,-0.01022,-0.01022,0.00498,0.00498,-0.00011,-0.00011,0.00032,0.00032,220.0,220.0
1,3,0.06,1e-05,-0.01504,-0.00524,0.00461,-0.00012,0.00035,0.38434,0.38428,0.38366,0.38433,0.38428,0.38371,0.52171,0.00831,0.02179,1.0,0.0,-0.0,0.0,0.0,0.0,-0.03972,-0.03972,-0.01541,-0.01541,0.00743,0.00743,-0.00016,-0.00016,0.00056,0.00056,220.0,220.0
1,4,0.08,2e-05,-0.02634,-0.00973,0.00674,-0.00016,0.00055,0.6383,0.6383,0.63787,0.6383,0.6383,0.6379,0.52171,0.00831,0.02253,1.0,0.0,-0.0,0.0,0.0,0.0,-0.05291,-0.05291,-0.02064,-0.02064,0.00985,0.00985,-0.00021,-0.00021,0.00085,0.00085,220.0,220.0
1,5,0.1,4e-05,-0.03898,-0.01485,0.00896,-0.00019,0.00081,0.83588,0.83073,0.83251,0.83611,0.83196,0.83012,0.52171,0.00831,0.0236,1.0,0.0,-0.0,-0.0,1e-05,1e-05,-0.06608,-0.06608,-0.02592,-0.02592,0.01224,0.01224,-0.00025,-0.00025,0.00119,0.00119,220.0,220.0
1,6,0.12,2e-05,-0.05216,-0.02024,0.01123,-0.00024,0.00112,0.82568,0.82443,0.82457,0.82569,0.82447,0.82479,0.52171,0.00831,0.02426,1.0,0.0,-0.0,-0.0,1e-05,1e-05,-0.07922,-0.07922,-0.03124,-0.03124,0.0146,0.0146,-0.0003,-0.0003,0.00158,0.00158,220.0,220.0
1,7,0.14,-1e-05,-0.06548,-0.0257,0.01352,-0.00028,0.00149,0.82552,0.82424,0.82609,0.82551,0.82429,0.8261,0.52171,0.00831,0.0246,1.0,0.0,-0.0,-0.0,1e-05,1e-05,-0.09235,-0.09235,-0.03661,-0.03661,0.01692,0.01692,-0.00034,-0.00034,0.00203,0.00203,220.0,220.0
1,8,0.16,-3e-05,-0.07876,-0.03116,0.01582,-0.00032,0.00191,0.82576,0.82432,0.82729,0.82575,0.82439,0.82721,0.52171,0.00831,0.02476,1.0,0.0,-0.0,-0.0,1e-05,1e-05,-0.10545,-0.10545,-0.04202,-0.04202,0.01921,0.01921,-0.00038,-0.00038,0.00254,0.00254,220.0,220.0
1,9,0.18,-4e-05,-0.09196,-0.03662,0.0181,-0.00037,0.00239,0.82577,0.82433,0.82733,0.82576,0.8244,0.82725,0.52171,0.00831,0.02483,1.0,0.0,-0.0,-0.0,1e-05,1e-05,-0.11854,-0.11854,-0.04748,-0.04748,0.02147,0.02147,-0.00042,-0.00042,0.00311,0.00311,220.0,220.0
1,10,0.2,-4e-05,-0.1051,-0.04209,0.02036,-0.00041,0.00293,0.82576,0.82433,0.82733,0.82576,0.8244,0.82724,0.52171,0.00831,0.02486,1.0,0.0,0.0,-0.0,1e-05,1e-05,-0.13161,-0.13161,-0.05298,-0.05298,0.02368,0.02368,-0.00045,-0.00045,0.00373,0.00373,220.0,220.0
1,11,0.22,-4e-05,-0.1182,-0.04758,0.02258,-0.00045,0.00353,0.82576,0.82432,0.82734,0.82576,0.82439,0.82724,0.52171,0.00831,0.02488,1.0,0.0,0.0,-0.0,1e-05,1e-05,-0.14465,-0.14465,-0.05851,-0.05851,0.02585,0.02585,-0.00049,-0.00049,0.00442,0.00442,220.0,220.0
1,12,0.24,-4e-05,-0.13127,-0.0531,0.02478,-0.00049,0.00418,0.82577,0.82433,0.82734,0.82576,0.8244,0.82724,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,1e-05,1e-05,-0.15768,-0.15768,-0.06408,-0.06408,0.02798,0.02798,-0.00052,-0.00052,0.00516,0.00516,220.0,220.0
1,13,0.26,-4e-05,-0.14431,-0.05866,0.02693,-0.00053,0.0049,0.82576,0.82432,0.82733,0.82576,0.82439,0.82724,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,2e-05,2e-05,-0.17069,-0.17069,-0.06969,-0.06969,0.03006,0.03006,-0.00055,-0.00055,0.00597,0.00597,220.0,220.0
1,14,0.28,-4e-05,-0.15734,-0.06425,0.02904,-0.00056,0.00568,0.82577,0.82434,0.82734,0.82577,0.82441,0.82725,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,2e-05,2e-05,-0.18369,-0.18369,-0.07532,-0.07532,0.0321,0.0321,-0.00057,-0.00057,0.00684,0.00684,220.0,220.0
1,15,0.3,-3e-05,-0.17036,-0.06987,0.0311,-0.0006,0.00652,0.82576,0.82433,0.82733,0.82576,0.8244,0.82724,0.52171,0.00831,0.02489,1.0,0.0,0.0,-0.0,2e-05,2e-05,-0.19667,-0.19667,-0.08099,-0.08099,0.03409,0.03409,-0.0006,-0.0006,0.00777,0.00777,220.0,220.0
1,16,0.32,-3e-05,-0.18336,-0.07552,0.03312,-0.00063,0.00742,0.82576,0.82432,0.82733,0.82576,0.82439,0.82724,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,2e-05,2e-05,-0.20964,-0.20964,-0.08669,-0.08669,0.03602,0.03602,-0.00062,-0.00062,0.00877,0.00877,220.0,220.0
1,17,0.34,-3e-05,-0.19635,-0.08121,0.03508,-0.00065,0.00839,0.82576,0.82432,0.82733,0.82575,0.82439,0.82724,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,2e-05,2e-05,-0.2226,-0.2226,-0.0924,-0.0924,0.03791,0.03791,-0.00064,-0.00064,0.00983,0.00983,220.0,220.0
1,18,0.36,-3e-05,-0.20934,-0.08692,0.037,-0.00068,0.00942,0.82576,0.82432,0.82733,0.82576,0.82439,0.82724,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,2e-05,2e-05,-0.23555,-0.23555,-0.09815,-0.09815,0.03973,0.03973,-0.00065,-0.00065,0.01095,0.01095,220.0,220.0
1,19,0.38,-3e-05,-0.22231,-0.09265,0.03886,-0.0007,0.01051,0.82577,0.82433,0.82734,0.82577,0.8244,0.82725,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,2e-05,2e-05,-0.24848,-0.24848,-0.10391,-0.10391,0.04151,0.04151,-0.00066,-0.00066,0.01214,0.01214,220.0,220.0
1,20,0.4,-3e-05,-0.23527,-0.09841,0.04066,-0.00072,0.01167,0.82576,0.82433,0.82734,0.82576,0.8244,0.82724,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,2e-05,2e-05,-0.26141,-0.26141,-0.10968,-0.10968,0.04322,0.04322,-0.00067,-0.00067,0.0134,0.0134,220.0,220.0
1,21,0.42,-2e-05,-0.24823,-0.10418,0.04241,-0.00074,0.01289,0.82575,0.82432,0.82733,0.82575,0.82439,0.82723,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,3e-05,3e-05,-0.27433,-0.27433,-0.11548,-0.11548,0.04488,0.04488,-0.00068,-0.00068,0.01471,0.01471,220.0,220.0
1,22,0.44,-2e-05,-0.26118,-0.10997,0.04411,-0.00075,0.01418,0.82575,0.82432,0.82733,0.82575,0.82439,0.82723,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,3e-05,3e-05,-0.28725,-0.28725,-0.12128,-0.12128,0.04648,0.04648,-0.00068,-0.00068,0.01609,0.01609,220.0,220.0
1,23,0.46,-2e-05,-0.27413,-0.11578,0.04574,-0.00076,0.01553,0.82577,0.82433,0.82734,0.82576,0.8244,0.82725,0.52171,0.00831,0.02489,1.0,0.0,-0.0,-0.0,3e-05,3e-05,-0.30016,-0.30016,-0.12708,-0.12708,0.04801,0.04801,-0.00068,-0.00068,0.01754,0.01754,220.0,220.0
